id,observed_on_string,observed_on,time_observed_at,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_genus_name
71256416,2021/03/14 9:04 AM EDT,2021-03-14,2021-03-14 13:04:00 UTC,25.3812913889,-80.6371975556,Ursus americanus americanus,Eastern Black Bear,Mammalia,132830,Carnivora,Ursus
71256425,2021/03/14 11:33 AM EDT,2021-03-14,2021-03-14 15:33:00 UTC,25.3762670833,-80.6374484167,Ursus americanus americanus,Eastern Black Bear,Mammalia,132830,Carnivora,Ursus
71279564,2021/03/03 9:55 AM UTC,2021-03-03,2021-03-03 09:55:00 UTC,25.1231902954,-80.9093348435,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
71305937,2013/10/21 6:52 PM UTC,2013-10-21,2013-10-21 18:52:00 UTC,25.7593287051,-80.7757252001,Sus scrofa,Wild Boar,Mammalia,42134,Artiodactyla,Sus
71312235,2021/03/12 2:11 PM EST,2021-03-12,2021-03-12 19:11:00 UTC,25.1663595217,-80.8605522357,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
71316220,2021/03/13 1:30 PM EST,2021-03-13,2021-03-13 18:30:00 UTC,25.0276255467,-80.8340572683,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
71515848,2021-03-18 7:48:38 AM EDT,2021-03-18,2021-03-18 11:48:38 UTC,25.0889504858,-80.8748494718,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
71521084,Sun Jan 10 2021 02:21:55 GMT-0500 (EST),2021-01-10,2021-01-10 07:21:55 UTC,25.0494325781,-80.9815542164,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
71709351,Thu Mar 18 2021 12:18:42 GMT-0500 (CDT),2021-03-18,2021-03-18 12:18:42 UTC,25.0797073374,-80.9980600542,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
71720447,2021-03-18,2021-03-18,,25.0950711911,-80.9664141696,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
