id,observed_on_string,observed_on,time_observed_at,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_genus_name
15389635,2018/02/12 10:48 PM EST,2018-02-12,2018-02-13 03:48:00 UTC,25.3823998,-80.6064611,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
15389636,2018/02/12 10:54 PM EST,2018-02-12,2018-02-13 03:54:00 UTC,25.3823998,-80.6064611,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
15389637,2018/02/12 8:35 PM EST,2018-02-12,2018-02-13 01:35:00 UTC,25.3823998,-80.6064611,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
15389638,2018/02/12 8:36 PM EST,2018-02-12,2018-02-13 01:36:00 UTC,25.3823998,-80.6064611,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
15389639,2018/02/12 9:29 PM EST,2018-02-12,2018-02-13 02:29:00 UTC,25.3823998,-80.6064611,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
15389640,2018/02/12 9:45 PM EST,2018-02-12,2018-02-13 02:45:00 UTC,25.3823998,-80.6064611,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
15389643,2018/02/12 9:46 PM EST,2018-02-12,2018-02-13 02:46:00 UTC,25.3823998,-80.6064611,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
15389646,2018/02/12 9:50 PM EST,2018-02-12,2018-02-13 02:50:00 UTC,25.3823998,-80.6064611,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
15389656,2018/02/12 10:15 PM EST,2018-02-12,2018-02-13 03:15:00 UTC,25.3823998,-80.6064611,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
15389658,2018/02/12 10:15 PM EST,2018-02-12,2018-02-13 03:15:00 UTC,25.3823998,-80.6064611,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
15398574,2018-08-10 8:01:44 AM EDT,2018-08-10,2018-08-10 12:01:44 UTC,25.3828544617,-80.593208313,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
15961113,2018/08/25 11:51 AM PDT,2018-08-25,2018-08-25 18:51:00 UTC,25.4240533333,-80.6799233333,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
16069957,2018-08-31 10:59:04 AM EDT,2018-08-31,2018-08-31 14:59:04 UTC,25.13712197,-80.93757523,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
16335750,2018/09/01 4:00 AM EDT,2018-09-01,2018-09-01 08:00:00 UTC,25.6825425917,-80.6731527838,Lithobates grylio,Pig Frog,Amphibia,65986,Anura,Lithobates
16335755,2018/09/05 1:56 PM EDT,2018-09-05,2018-09-05 17:56:00 UTC,25.6825425917,-80.6731527838,Lithobates sphenocephalus,Southern Leopard Frog,Amphibia,60341,Anura,Lithobates
16337097,2018/08/11 12:13 AM EDT,2018-08-11,2018-08-11 04:13:00 UTC,25.6825169034,-80.6731830926,Lithobates grylio,Pig Frog,Amphibia,65986,Anura,Lithobates
16436428,2016/03/05 11:13 PM CST,2016-03-05,2016-03-06 05:13:00 UTC,25.3803734011,-80.8113645829,Lithobates grylio,Pig Frog,Amphibia,65986,Anura,Lithobates
16445590,2011/12/12 4:20 PM CST,2011-12-12,2011-12-12 22:20:00 UTC,25.3879841404,-80.6895620485,Hyla squirella,Squirrel Treefrog,Amphibia,23873,Anura,Hyla
16479168,2015/11/07 7:31 PM CST,2015-11-07,2015-11-08 01:31:00 UTC,25.1435926729,-80.9243627093,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
16513243,2015/11/08 5:20 PM CST,2015-11-08,2015-11-08 23:20:00 UTC,25.7569026228,-80.7646047803,Lithobates sphenocephalus,Southern Leopard Frog,Amphibia,60341,Anura,Lithobates
16644392,2011/12/14 2:54 PM CST,2011-12-14,2011-12-14 20:54:00 UTC,25.3700383,-80.6847363,Hyla cinerea,Green Treefrog,Amphibia,23969,Anura,Hyla
17686509,2018-09-12 10:41:44 PM EDT,2018-09-12,2018-09-13 02:41:44 UTC,25.1388301849,-80.9376831055,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
17723776,Sat Oct 20 2018 10:48:00 GMT-0400 (EDT),2018-10-20,2018-10-20 14:48:00 UTC,25.4034416667,-80.65702,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
17746130,2018-02-28 7:22:00 PM EST,2018-02-28,2018-03-01 00:22:00 UTC,25.4413204193,-80.783416748,Lithobates grylio,Pig Frog,Amphibia,65986,Anura,Lithobates
