id,observed_on,time_observed_at,time_zone,user_name,created_at,quality_grade,num_identification_agreements,num_identification_disagreements,captive_cultivated,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id
34436087,2019-10-15,2019-10-16 00:08:29 UTC,Eastern Time (US & Canada),,2019-10-16 01:20:14 UTC,research,9,0,false,25.256625,-80.7984083333,Python bivittatus,Burmese Python,Reptilia,238252
34598903,2019-10-18,2019-10-19 02:59:34 UTC,Eastern Time (US & Canada),Joshua Sands,2019-10-19 19:38:46 UTC,research,8,0,false,25.0519987099,-80.9678485413,Python bivittatus,Burmese Python,Reptilia,238252
34670527,2019-10-10,2019-10-10 04:00:00 UTC,Eastern Time (US & Canada),Jance S Carter,2019-10-21 02:19:30 UTC,research,8,0,false,25.2866155,-80.8986509,Python bivittatus,Burmese Python,Reptilia,238252
34980159,2019-10-27,2019-10-27 21:13:03 UTC,Eastern Time (US & Canada),,2019-10-27 21:14:58 UTC,research,9,0,false,25.1822489501,-80.8980569377,Python bivittatus,Burmese Python,Reptilia,238252
35153472,2018-07-06,2018-07-07 03:42:48 UTC,Eastern Time (US & Canada),,2019-11-01 03:04:27 UTC,research,6,0,false,25.2192216667,-80.8448416667,Python bivittatus,Burmese Python,Reptilia,238252
35153502,2019-04-11,2019-04-12 01:56:03 UTC,Eastern Time (US & Canada),,2019-11-01 03:05:35 UTC,research,8,0,false,25.2182116667,-80.84652,Python bivittatus,Burmese Python,Reptilia,238252
35317262,2019-11-04,2019-11-05 03:53:05 UTC,Eastern Time (US & Canada),Wayne Fidler,2019-11-05 06:04:51 UTC,research,9,0,false,25.17820833,-80.90201667,Python bivittatus,Burmese Python,Reptilia,238252
35324661,2019-11-02,2019-11-02 22:24:14 UTC,Eastern Time (US & Canada),Wayne Fidler,2019-11-05 13:17:21 UTC,research,8,0,false,25.43666167,-80.71212,Python bivittatus,Burmese Python,Reptilia,238252
35350568,2019-11-05,2019-11-05 23:21:16 UTC,Eastern Time (US & Canada),Wayne Fidler,2019-11-06 01:33:57 UTC,research,7,0,false,25.16400833,-80.91162833,Python bivittatus,Burmese Python,Reptilia,238252
35585367,2019-11-10,2019-11-11 03:04:09 UTC,Eastern Time (US & Canada),,2019-11-11 21:55:45 UTC,research,7,0,false,25.1662220509,-80.9109185941,Python bivittatus,Burmese Python,Reptilia,238252
36162417,2019-11-27,2019-11-28 00:49:24 UTC,Eastern Time (US & Canada),,2019-11-28 16:37:28 UTC,research,9,0,false,25.21868,-80.845795,Python bivittatus,Burmese Python,Reptilia,238252
36162544,2019-11-27,2019-11-28 02:00:58 UTC,Eastern Time (US & Canada),,2019-11-28 16:42:31 UTC,research,7,0,false,25.1772262847,-80.9030702075,Python bivittatus,Burmese Python,Reptilia,238252
36693495,2015-02-23,2015-02-23 13:17:00 UTC,Eastern Time (US & Canada),David Hochadel,2019-12-16 03:52:22 UTC,research,7,0,false,25.4137977149,-80.6289815621,Python bivittatus,Burmese Python,Reptilia,238252
37622428,2020-01-14,2020-01-14 13:44:00 UTC,Pacific Time (US & Canada),John Sullivan,2020-01-15 19:07:12 UTC,research,9,0,false,25.1861666667,-80.8945388889,Python bivittatus,Burmese Python,Reptilia,238252
37699929,2009-02-06,2009-02-06 22:28:00 UTC,Central Time (US & Canada),J.D. Willson,2020-01-18 04:11:49 UTC,research,8,0,false,25.7777267323,-80.729211707,Python bivittatus,Burmese Python,Reptilia,238252
37735668,2009-11-07,2009-11-08 04:39:00 UTC,Central Time (US & Canada),J.D. Willson,2020-01-19 05:35:56 UTC,research,9,0,false,25.2039985026,-80.8268827004,Python bivittatus,Burmese Python,Reptilia,238252
37735669,2009-11-10,2009-11-11 05:23:00 UTC,Central Time (US & Canada),J.D. Willson,2020-01-19 05:35:56 UTC,research,9,0,false,25.17133,-80.90803,Python bivittatus,Burmese Python,Reptilia,238252
37735671,2009-11-08,2009-11-09 02:18:00 UTC,Central Time (US & Canada),J.D. Willson,2020-01-19 05:35:59 UTC,research,9,0,false,25.20951,-80.86083,Python bivittatus,Burmese Python,Reptilia,238252
37772827,2014-08-16,2014-08-16 19:34:00 UTC,Central Time (US & Canada),J.D. Willson,2020-01-20 05:24:05 UTC,research,9,0,false,25.7000306924,-80.5983562108,Python bivittatus,Burmese Python,Reptilia,238252
37772829,2013-05-28,2013-05-28 13:26:00 UTC,Central Time (US & Canada),J.D. Willson,2020-01-20 05:24:07 UTC,research,9,0,false,25.28367,-80.79835,Python bivittatus,Burmese Python,Reptilia,238252
37772830,2009-11-10,2009-11-11 03:27:00 UTC,Central Time (US & Canada),J.D. Willson,2020-01-20 05:24:07 UTC,research,9,0,false,25.1771,-80.90308,Python bivittatus,Burmese Python,Reptilia,238252
42893072,2012-03-22,2012-03-22 16:10:00 UTC,Eastern Time (US & Canada),"",2020-04-22 21:28:28 UTC,research,9,0,false,25.4032036225,-80.9619754369,Python bivittatus,Burmese Python,Reptilia,238252
46779419,2020-05-21,2020-05-21 16:26:58 UTC,Eastern Time (US & Canada),"",2020-05-21 22:42:20 UTC,research,7,0,false,25.2904808498,-80.7235248613,Python bivittatus,Burmese Python,Reptilia,238252
47939622,2019-12-05,,UTC,Nereus,2020-05-31 03:50:55 UTC,research,8,0,false,25.739910452,-80.7592335469,Python bivittatus,Burmese Python,Reptilia,238252
50503324,2020-06-01,2020-06-01 06:58:03 UTC,Eastern Time (US & Canada),,2020-06-22 02:06:22 UTC,research,9,0,false,25.41741167,-80.77973,Python bivittatus,Burmese Python,Reptilia,238252
66761027,2016-08-15,2016-08-16 01:17:26 UTC,Eastern Time (US & Canada),ethanroyal,2020-12-19 02:56:08 UTC,research,11,0,false,25.3048455523,-80.9424204062,Python bivittatus,Burmese Python,Reptilia,238252
67036079,2020-12-24,2020-12-25 02:23:51 UTC,Eastern Time (US & Canada),,2020-12-25 07:37:51 UTC,research,10,0,false,25.4172966667,-80.6448366667,Python bivittatus,Burmese Python,Reptilia,238252
67346292,2020-12-30,2020-12-30 23:56:35 UTC,Eastern Time (US & Canada),Yuming Zou,2020-12-31 09:00:44 UTC,research,6,0,false,25.43405333,-80.72666167,Python bivittatus,Burmese Python,Reptilia,238252
67548699,2021-01-03,2021-01-03 16:31:00 UTC,Eastern Time (US & Canada),Joe MDO,2021-01-04 01:35:51 UTC,research,11,0,false,25.1898004736,-80.7757907946,Python bivittatus,Burmese Python,Reptilia,238252
67632302,2018-04-15,2018-04-15 21:49:00 UTC,UTC,Court Harding,2021-01-05 20:07:55 UTC,research,9,0,false,25.4110630825,-80.6539044216,Python bivittatus,Burmese Python,Reptilia,238252
68300368,2021-01-03,2021-01-04 00:38:00 UTC,Central Time (US & Canada),Johnny Baakliny,2021-01-19 00:03:03 UTC,research,9,0,false,25.5017909549,-80.6258243448,Python bivittatus,Burmese Python,Reptilia,238252
68974271,2021-02-01,2021-02-01 15:05:12 UTC,Eastern Time (US & Canada),"",2021-02-02 20:54:24 UTC,research,4,0,false,25.6467267797,-81.2723251639,Python bivittatus,Burmese Python,Reptilia,238252
68980607,2020-10-11,2020-10-12 01:41:26 UTC,Eastern Time (US & Canada),gotcritters,2021-02-02 23:50:56 UTC,research,8,0,false,25.2392883333,-80.8119283333,Python bivittatus,Burmese Python,Reptilia,238252
68981087,2020-09-28,2020-09-28 23:57:24 UTC,Eastern Time (US & Canada),gotcritters,2021-02-03 00:00:06 UTC,research,8,0,false,25.429,-80.687425,Python bivittatus,Burmese Python,Reptilia,238252
71467332,2019-12-06,2019-12-06 13:22:24 UTC,Eastern Time (US & Canada),"",2021-03-18 03:47:39 UTC,research,8,0,false,25.2593806561,-80.7984002346,Python bivittatus,Burmese Python,Reptilia,238252
74363520,2020-12-19,2020-12-19 19:17:50 UTC,Eastern Time (US & Canada),,2021-04-18 13:06:54 UTC,research,8,0,false,25.1477305,-80.9242783333,Python bivittatus,Burmese Python,Reptilia,238252
