LT_ND_Grahl_002,,,,,,,,,,,,
SITENAME,DATE,TIME,Salinity,TN,TP,TOC,NH4,NandN,NO2,SRP,DOC,NO3
SRS6,2011-08-04,12:11,31,40.629,0.4,-9999,1.08,2.4,0.47,0.28,709.833,1.93
SRS1d,2011-08-05,11:20,-9999,111.755,0.17,-9999,2.26,0.21,0.14,0.01,2161.667,0.07
SRS2,2011-08-05,9:50,-9999,77.106,0.12,-9999,1.38,0.13,0.12,0.01,1461.667,0.01
SRS3,2011-08-05,9:15,-9999,79.883,0.2,-9999,1.91,0.23,0.14,0.01,1689.167,0.08
SRS4,2011-09-01,10:00,5.9,60.51,0.26,-9999,2.93,0.57,0.17,0.05,1460,0.4
SRS5,2011-09-01,10:45,14.4,52.508,0.47,-9999,4.77,1.29,0.31,0.08,1324.167,0.98
SRS6,2011-09-01,11:30,24.2,41.361,0.73,-9999,1.2,3.85,0.45,0.08,967.5,3.4
SRS1d,2011-09-07,13:10,-9999,74.063,0.16,-9999,1.04,0.21,0.11,0.03,1649.167,0.1
SRS2,2011-09-07,10:35,-9999,65.862,0.14,-9999,0.88,0.16,0.11,0.02,1463.333,0.06
SRS3,2011-09-07,9:05,-9999,50.512,0.17,-9999,1.5,0.18,0.1,0.03,1136.667,0.08
SRS4,2011-10-06,10:00,0.9,54.371,0.22,-9999,1.86,0.69,0.15,0.14,1208.333,0.54
SRS5,2011-10-06,12:00,10.1,60.71,0.51,-9999,2.62,2.87,0.34,0.16,1221.667,2.52
SRS6,2011-10-06,12:40,18.7,52.122,0.54,-9999,2.88,3.85,0.34,0.39,1080.833,3.51
SRS1d,2011-10-12,8:20,-9999,85.362,0.2,-9999,2.31,0.43,0.12,0.35,2040,0.31
SRS2,2011-10-12,11:35,-9999,69.287,0.15,-9999,1.91,0.62,0.12,0.08,1509.167,0.5
SRS3,2011-10-12,10:32,-9999,52.897,0.14,-9999,1.2,0.65,0.1,0.06,1090.833,0.55
SRS4,2011-11-01,10:20,0.9,33.766,0.31,-9999,1.86,0.58,0.12,0.31,995.833,0.46
SRS5,2011-11-01,11:45,1.9,44.387,0.39,-9999,1.41,1.75,0.17,0.16,1046.667,1.58
SRS6,2011-11-01,12:30,9.5,46.868,0.56,-9999,4.58,3.72,0.37,0.14,1038.333,3.36
SRS1d,2011-11-07,15:00,-9999,51.253,0.26,-9999,1.4,0.59,0.24,0.25,1611.667,0.35
SRS2,2011-11-07,13:00,-9999,38.596,0.16,-9999,1.53,1.11,0.12,0.32,970,0.99
SRS3,2011-11-07,11:50,-9999,32.3,0.23,-9999,0.92,0.17,0.08,0.34,859.167,0.1
SRS4,2011-12-01,11:10,1.1,47.173,0.27,-9999,1.19,0.42,0.1,0.04,985.833,0.32
SRS5,2011-12-01,12:41,2.8,50.331,0.4,-9999,1.11,1.85,0.15,0.05,1053.333,1.71
SRS6,2011-12-01,13:10,17.1,39.436,0.43,-9999,1.2,2.42,0.19,0.21,872.5,2.23
SRS1d,2011-12-14,12:20,-9999,68.201,0.35,-9999,1.52,0.29,0.08,0.02,1420.833,0.21
SRS2,2011-12-14,9:50,-9999,72.879,0.38,-9999,2.26,0.59,0.09,0.04,1126.667,0.51
SRS3,2011-12-14,8:50,-9999,55.754,0.23,-9999,1.52,0.54,0.07,0.06,970,0.47
SRS4,2012-01-05,9:45,2,63.945,0.28,-9999,4.02,0.98,0.09,-9999,1386.667,0.89
SRS5,2012-01-05,11:00,4.9,65.64,0.41,-9999,2.29,1.41,0.16,-9999,1387.5,1.25
SRS6,2012-01-05,11:45,16.3,49.062,0.42,-9999,4.51,2.39,0.19,0.19,999.167,2.2
SRS1d,2012-01-10,15:00,-9999,75.535,0.21,-9999,1.82,0.86,0.1,0.08,1777.5,0.76
SRS2,2012-01-10,12:15,-9999,74.496,0.18,-9999,1.89,1.58,0.13,0.26,1480.833,1.45
SRS3,2012-01-10,10:35,-9999,67.023,0.24,-9999,0.79,0.42,0.04,0.29,1491.667,0.38
SRS1d,2012-02-01,10:50,-9999,60.607,0.38,-9999,2.59,0.28,0.11,0.09,2054.167,0.17
SRS3,2012-02-01,7:50,-9999,52.156,0.12,-9999,3.32,1.19,0.11,0.2,1505,1.08
SRS2,2012-02-15,12:00,-9999,69.462,0.24,-9999,4.68,2.6,0.12,0.19,1557.5,2.48
SRS4,2012-02-15,10:00,4.7,71.437,0.36,-9999,3.75,1.35,0.17,0.06,1514.167,1.18
SRS5,2012-02-15,11:30,14.9,64.423,0.54,-9999,4.16,1.67,0.12,0.14,1163.333,1.54
SRS6,2012-02-15,12:40,26,30.53,0.48,-9999,1.76,2.8,0.32,0.13,688.75,2.48
SRS2,2012-03-01,10:00,-9999,96.04,-9999,-9999,3.37,2.69,0.21,0.26,1949.167,2.48
SRS3,2012-03-01,9:00,-9999,78.46,-9999,-9999,6.49,1.79,0.12,0.24,1760.833,1.67
SRS1d,2012-03-02,8:40,-9999,107.789,-9999,-9999,3.74,0.33,0.18,0.25,2425,0.15
SRS4,2012-03-06,9:05,5.4,72.124,-9999,-9999,5.11,1.64,0.22,0.21,1625.833,1.42
SRS5,2012-03-06,9:50,8,65.398,0.26,-9999,4.68,2.39,0.26,0.15,1607.5,2.14
SRS6,2012-03-06,10:30,21.9,51.133,0.34,-9999,4.99,2.46,0.34,0.06,1057.5,2.12
SRS4,2012-04-10,9:45,22.5,52.037,0.48,-9999,3.02,0.97,0.13,0.05,1156.667,0.84
SRS5,2012-04-10,10:45,30.1,33.391,0.48,-9999,1.43,0.92,0.21,0.08,832.5,0.71
SRS6,2012-04-10,11:30,33.2,26.242,0.54,-9999,2.06,1.75,0.34,0.2,598,1.41
SRS2,2012-04-12,9:15,-9999,160.836,0.4,-9999,29.68,1.73,0.22,0.31,2557.333,1.51
SRS3,2012-04-12,8:55,-9999,101.174,1.05,-9999,2.5,0.52,0.1,0.23,2330.667,0.42
SRS1d,2012-05-07,12:00,-9999,106.981,0.33,-9999,3.42,0.52,0.13,0.05,2112.333,0.4
SRS2,2012-05-07,11:00,-9999,78.358,0.23,-9999,2.38,0.38,0.17,0.03,1780,0.21
SRS3,2012-05-07,9:50,-9999,59.011,0.29,-9999,1.33,0.36,0.11,0.05,1664.167,0.25
SRS4,2012-05-08,10:15,10.1,106.981,0.44,-9999,2.36,0.22,0.11,0.02,1417.5,0.11
SRS5,2012-05-08,11:00,28.3,37.559,0.48,-9999,1.13,1.38,0.25,0.37,890,1.13
SRS6,2012-05-08,11:40,32.1,28.941,0.6,-9999,1.07,1.63,0.33,0.15,655.083,1.29
SRS1d,2012-06-19,13:00,-9999,67.366,0.24,-9999,1.87,0.27,0.04,0.03,1846.667,0.23
SRS2,2012-06-19,10:50,-9999,61.107,0.15,-9999,1.69,0.18,0.03,0.05,1693.333,0.15
SRS3,2012-06-19,10:00,-9999,45.851,0.19,-9999,1.37,0.25,0.03,0.06,1328.333,0.22
SRS4,2012-06-25,10:50,5,51.589,0.54,-9999,2.33,1.67,0.23,0.11,1296.667,1.44
SRS5,2012-06-25,11:40,21,40.128,0.55,-9999,2.07,2.22,0.23,0.04,939.167,1.99
SRS6,2012-06-25,12:00,28.2,44.538,0.8,-9999,4.06,4.85,0.44,0.23,599.917,4.41
SRS4,2012-07-10,10:00,0.8,56.034,0.29,-9999,1.36,1.42,0.28,0.01,304.083,1.14
SRS5,2012-07-10,11:05,5.3,60.314,0.46,-9999,1.22,2.5,0.58,0.04,1220,1.92
SRS6,2012-07-10,11:45,14.9,55.684,0.59,-9999,3.9,5.69,0.08,0.2,1110.833,5.6
SRS1d,2012-07-17,12:50,-9999,53.174,0.12,-9999,1.84,0.23,0.07,0.02,1097.5,0.17
SRS2,2012-07-17,10:35,-9999,44.661,0.14,-9999,1,0.07,0.07,0,1410.833,0
SRS3,2012-07-17,9:30,-9999,50.325,0.16,-9999,1.04,0.1,0.08,0,1225,0.02
SRS4,2012-08-08,9:45,0.5,51.142,0.27,-9999,1.43,0.32,0.06,0.06,1012.5,0.26
SRS5,2012-08-08,11:05,5.3,49.575,0.48,-9999,1.67,1.67,0.1,0.1,990.833,1.57
SRS6,2012-08-08,11:30,17.6,42.577,0.59,-9999,0.87,3.93,0.36,-9999,743.25,3.57
SRS1d,2012-08-14,12:30,-9999,71.115,0.23,-9999,2.1,0.21,0.05,0.1,1299.167,0.17
SRS2,2012-08-14,6:00,-9999,84.264,0.17,-9999,1.62,0.13,0.04,0.07,1245,0.08
SRS3,2012-08-14,8:15,-9999,49.769,0.16,-9999,1.16,0.16,0.04,0.07,1059.167,0.12
SRS4,2012-09-10,9:50,0.3,39.849,0.26,-9999,5.05,0.42,0.17,0.02,1010.833,0.25
SRS5,2012-09-10,10:40,8.4,47.961,0.52,-9999,1.72,3.5,0.44,0.05,968.333,3.07
SRS6,2012-09-10,11:40,22,33.833,0.67,-9999,0.31,2.03,0.32,0.02,700.583,1.71
SRS1d,2012-09-14,12:00,-9999,70.674,0.2,-9999,3.11,0.24,0.12,0.01,1364.167,0.13
SRS2,2012-09-14,10:20,-9999,118.471,0.16,-9999,2.05,0.12,0.11,0.01,1126.667,0
SRS3,2012-09-14,9:15,-9999,51.01,0.17,-9999,0.9,0.15,0.12,0.02,1270,0.02
SRS1d,2012-10-10,7:50,-9999,37.31,0.19,-9999,2.64,1.11,0.12,0.03,878.333,0.99
SRS2,2012-10-10,13:30,-9999,51.255,0.16,-9999,1.3,0.15,0.09,0.04,1087.5,0.06
SRS3,2012-10-10,10:00,-9999,29.786,0.17,-9999,1.02,0.08,0.07,0.01,913.333,0.01
SRS4,2012-10-17,11:15,0.8,26.258,0.36,-9999,2.06,1.1,0.13,0.03,985.833,0.97
SRS5,2012-10-17,12:00,13.4,33.632,1.31,-9999,21.05,1.59,0.18,0.58,795.5,1.41
SRS6,2012-10-17,13:00,18,30.856,0.69,-9999,1.66,1.91,0.16,0.05,675.833,1.75
SRS1d,2012-11-01,14:15,-9999,42.158,0.21,-9999,1.39,0.2,0.08,0.04,1159.167,0.13
SRS2,2012-11-01,11:30,-9999,46.776,0.23,-9999,0.74,0.05,0.05,0.03,1178.333,0
SRS3,2012-11-01,10:45,-9999,37.029,0.15,-9999,0.74,0.07,0.06,0.06,1128.333,0.01
SRS4,2012-11-13,9:45,0.1,45.847,0.32,-9999,2.08,0.43,0.09,0.04,1145,0.34
SRS5,2012-11-13,11:00,0.2,50.039,0.56,-9999,3.32,0.83,0.12,0.05,1165.833,0.71
SRS6,2012-11-13,11:25,16.5,31.34,0.52,-9999,3.48,3.74,0.28,0.8,791.833,3.46
SRS1d,2012-12-17,11:55,-9999,56.024,0.3,-9999,3.37,0.24,0.08,0.04,1835,0.16
SRS2,2012-12-17,10:00,-9999,56.223,0.17,-9999,3.06,0.16,0.06,0.04,1556.667,0.1
SRS3,2012-12-17,9:00,-9999,41.77,0.23,-9999,1.69,0.34,0.08,0.03,1232.5,0.26
SRS4,2012-12-18,9:30,0.8,46.626,0.38,-9999,3.47,1.5,0.12,0.02,1365,1.38
SRS5,2012-12-18,11:00,13.6,35.902,0.61,-9999,10.2,2.28,0.19,0.12,1081.667,2.09
SRS6,2012-12-18,11:35,22.6,27.468,0.65,-9999,4.97,6.42,0.37,0.15,760.167,6.05
SRS1d,2013-01-08,13:30,-9999,59.19,0.36,-9999,2.23,0.13,0.07,0.15,1776.667,0.06
SRS2,2013-01-08,11:20,-9999,45.389,0.27,-9999,2.91,0.16,0.07,0.02,1388.333,0.09
SRS3,2013-01-08,9:40,-9999,36.41,0.28,-9999,2.68,0.65,0.07,0.02,1304.167,0.59
SRS4,2013-01-15,9:40,1.6,49.226,0.46,-9999,3.53,1.64,0.17,0.02,1297.5,1.47
SRS5,2013-01-15,10:30,11.2,38.727,0.81,-9999,3.67,1.14,0.15,0.02,1095,0.99
SRS6,2013-01-15,11:00,24.2,24.211,1.23,-9999,0.93,1.27,0.17,0.05,660.583,1.1
SRS4,2013-02-05,10:30,2.1,73.804,0.45,-9999,5.32,2.49,0.19,0.01,1434.167,2.3
SRS5,2013-02-05,11:30,18.7,36.1,0.46,-9999,5.79,1.4,0.15,0.02,960,1.25
SRS6,2013-02-05,12:15,25,20.132,0.47,-9999,0.96,0.88,0.18,0.05,704.75,0.7
SRS1d,2013-02-12,11:50,-9999,102.104,0.42,-9999,2.61,0.12,0.06,0.06,1964.167,0.05
SRS2,2013-02-12,10:10,-9999,112.278,0.34,-9999,20.57,1.28,0.15,0.07,1521.667,1.14
SRS3,2013-02-12,9:10,-9999,86.386,0.39,-9999,6.66,2.27,0.12,0.02,1670,2.15
SRS1d,2013-03-04,13:30,-9999,108.842,0.19,-9999,7.15,0.17,0.09,0.05,1997.5,0.08
SRS2,2013-03-04,11:12,-9999,110.133,0.14,-9999,8.52,2.93,0.13,0.01,1675.833,2.8
SRS3,2013-03-04,9:40,-9999,90.27,0.17,-9999,6.59,2.74,0.09,0.03,228.06,2.64
SRS4,2013-03-07,10:00,4,66.588,0.4,-9999,5.31,2.3,0.18,0.03,1514.167,2.12
SRS5,2013-03-07,10:45,14.1,50.173,0.45,-9999,2.18,1.56,0.16,0.03,1228.333,1.4
SRS6,2013-03-07,11:30,27.6,24.265,0.76,-9999,0.61,0.52,0.11,0.02,647.917,0.4
SRS4,2013-04-02,10:00,8.6,54.558,1.09,-9999,3.26,0.51,0.11,0.04,1452.5,0.41
SRS5,2013-04-02,10:30,28.3,30.096,0.49,-9999,3.66,0.65,0.1,0.08,774.083,0.55
SRS6,2013-04-02,11:00,31,23.694,0.53,-9999,1.74,0.59,0.13,0.03,612.667,0.46
SRS1d,2013-04-04,11:00,-9999,158.021,1.24,-9999,3.52,0.43,0.13,0.06,2893.833,0.3
SRS2,2013-04-04,10:00,-9999,143.168,0.92,-9999,1.86,0.4,0.24,0.06,2730.5,0.16
SRS3,2013-04-04,9:25,-9999,130.231,1.01,-9999,25.89,3.05,0.14,0.01,2088.333,2.91
SRS4,2013-05-01,9:30,11.8,38.582,0.44,-9999,1.89,0.94,0.13,0.07,1492.5,0.81
SRS5,2013-05-01,10:10,29.5,23.34,0.56,-9999,0.5,0.91,0.16,0.06,727,0.75
SRS6,2013-05-01,10:35,31.2,19.871,0.56,-9999,1.09,0.91,0.18,0.12,601.167,0.74
SRS1d,2013-05-08,13:10,-9999,133.089,0.34,-9999,4.55,0.26,0.25,0.05,3054,0.01
SRS2,2013-05-08,11:30,-9999,57.75,0.19,-9999,2.26,0.35,0.12,0.03,1619.667,0.23
SRS3,2013-05-08,10:00,-9999,53.891,0.35,-9999,1.89,0.92,0.13,0.04,1698.333,0.79
SRS4,2013-06-04,9:25,0.9,44.82,0.5,-9999,0.51,0.15,0.08,0.03,1047.5,0.07
SRS5,2013-06-04,10:00,2,46.779,0.37,-9999,0.94,0.39,0.09,0.04,1102.083,0.31
SRS6,2013-06-04,10:16,14.2,40.383,0.67,-9999,2.85,1.43,0.22,0.1,981.667,1.21
SRS1d,2013-06-20,12:30,-9999,59.254,0.39,-9999,2.61,0.1,0.05,0.04,1115,0.05
SRS2,2013-06-20,10:30,-9999,62.426,0.32,-9999,2.06,0.15,0.01,0.05,1149.167,0.15
SRS3,2013-06-20,9:25,-9999,48.964,0.24,-9999,1,0.11,0.09,0.04,1055,0.02
SRS4,2013-07-01,10:15,0.8,42.158,0.38,-9999,2.16,0.32,0.18,0.05,1001.667,0.14
SRS5,2013-07-01,10:50,20.5,33.647,1.53,-9999,1.71,3.13,0.34,0.04,799.25,2.79
SRS6,2013-07-01,11:20,26,29.76,3.14,-9999,2.5,1.84,0.27,0.22,671.292,1.57
SRS1d,2013-07-11,13:00,-9999,60.811,0.26,-9999,2.15,0.22,0.18,0.11,1259.167,0.04
SRS2,2013-07-11,10:40,-9999,34.938,0.16,-9999,1.88,0.11,0.11,0.08,965,0
SRS3,2013-07-11,9:20,-9999,30.056,0.23,-9999,1.74,0.18,0.17,0.02,828.583,0.02
SRS4,2013-08-14,9:50,0.7,55.022,0.35,-9999,2.63,0.47,0.09,0,1138.333,0.38
SRS5,2013-08-14,10:40,13.2,34.78,0.54,-9999,2.14,1.68,0.29,0.1,879.167,1.39
SRS6,2013-08-14,11:40,9.5,27.212,0.64,-9999,1.4,1.62,0.35,0.26,713,1.27
SRS1d,2013-08-16,11:45,-9999,67.136,0.22,-9999,2.61,0.33,0.11,0.01,1199.167,0.21
SRS2,2013-08-16,10:20,-9999,51.339,0.4,-9999,1.68,0.16,0.1,0.03,1158.333,0.06
SRS3,2013-08-16,9:20,-9999,43.182,0.33,-9999,1.62,0.45,0.09,0.03,1135,0.36
SRS4,2013-09-05,10:40,0.6,46.898,0.38,-9999,1.04,0.14,0.13,0.02,1181.667,0.01
SRS5,2013-09-05,10:00,1.8,50.204,0.37,-9999,1.66,0.79,0.22,0.04,1190.833,0.57
SRS6,2013-09-05,11:21,12.8,35.362,0.5,-9999,2.08,1.64,0.33,0.07,960,1.31
SRS1d,2013-09-12,13:00,-9999,47.506,0.29,-9999,2.04,0.32,0.26,0.03,1239.167,0.06
SRS2,2013-09-12,10:20,-9999,49.799,0.18,-9999,2.56,0.48,0.38,0.04,1200.833,0.1
SRS3,2013-09-12,9:20,-9999,46.298,0.22,-9999,1.8,0.64,0.41,0.03,1140,0.23
SRS1d,2013-10-24,7:30,-9999,49.155,0.29,-9999,3.96,0.62,0.09,0.04,1208.333,0.53
SRS2,2013-10-24,11:50,-9999,46.468,0.17,-9999,1.79,0.11,0.07,0.05,1239.167,0.04
SRS3,2013-10-24,9:45,-9999,39.541,0.18,-9999,1.33,0.36,0.05,0.03,1198.333,0.31
SRS4,2013-10-28,9:50,0.7,51.944,0.45,-9999,1.67,0.37,0.09,0.01,1265,0.28
SRS5,2013-10-28,10:30,6.4,47.444,0.58,-9999,1.51,1.6,0.18,0.09,1185.833,1.42
SRS6,2013-10-28,11:00,19,31.795,0.69,-9999,2.56,4.48,0.42,0.1,789.083,4.07
SRS1d,2013-11-07,13:00,-9999,38.118,0.21,-9999,1.75,0.13,0.09,0.06,1297.5,0.04
SRS2,2013-11-07,10:10,-9999,46.875,0.09,-9999,2.15,0.25,0.16,0.06,1231.667,0.09
SRS3,2013-11-07,8:50,-9999,41.541,0.16,-9999,1.15,0.32,0.11,0.04,1205.833,0.21
SRS4,2013-11-12,9:20,0.8,43.108,0.29,-9999,1.95,0.82,0.11,0.06,1210.417,0.71
SRS5,2013-11-12,10:30,12.7,42.35,0.41,-9999,1.17,1.43,0.27,0.13,968.333,1.17
SRS6,2013-11-12,11:00,22.4,30.915,0.51,-9999,1.38,3.33,0.39,0.2,661.75,2.94
SRS4,2013-12-03,10:00,1,47.981,0.38,-9999,1.4,0.81,0.07,0.03,1172.5,0.74
SRS5,2013-12-03,10:50,11.2,39.468,0.37,-9999,1.31,0.85,0.11,0.08,1011.667,0.74
SRS6,2013-12-03,11:30,18.8,31.707,0.49,-9999,0.09,1.35,0.19,0.06,774.333,1.17
SRS1d,2013-12-10,13:50,-9999,56.991,0.3,-9999,2.34,0.17,0.05,0.06,1201.667,0.11
SRS2,2013-12-10,10:55,-9999,43.679,0.27,-9999,1.26,0.6,0.01,0.02,1159.167,0.58
SRS3,2013-12-10,9:45,-9999,50.973,0.16,-9999,2.1,0.51,0.08,0.05,1195.833,0.42
SRS1d,2014-01-14,13:40,-9999,46.663,0.15,-9999,0.92,0.07,0.04,0.05,1327.5,0.03
SRS2,2014-01-14,11:14,-9999,69.902,0.11,-9999,24.44,1.28,0.11,0.02,1244.167,1.16
SRS3,2014-01-14,9:50,-9999,48.418,0.12,-9999,5.95,1.23,0.1,0.04,1373.333,1.13
SRS4,2014-01-22,10:25,1.3,55.681,0.26,-9999,4.34,2.59,0.13,0.09,1502.5,2.46
SRS5,2014-01-22,11:30,11,39.106,0.32,-9999,1.62,1.22,0.14,0.1,1273.333,1.07
SRS6,2014-01-22,12:04,23.5,26.39,0.46,-9999,0.35,0.55,0.06,0.01,764.25,0.49
SRS1d,2014-02-05,13:30,-9999,63.531,0.27,-9999,2.76,0.17,0.16,0.04,1422.5,0.01
SRS2,2014-02-05,10:35,-9999,93.135,0.31,-9999,31.97,1.42,0.37,0.01,1515.417,1.06
SRS3,2014-02-05,9:40,-9999,60.133,0.16,-9999,8.77,2.31,0.21,0.04,1463.333,2.1
SRS4,2014-02-11,10:15,1.8,56.579,0.38,-9999,1.88,2.4,0.25,0.03,499.667,2.15
SRS5,2014-02-11,11:20,9.8,45.967,0.39,-9999,1.5,2.81,0.27,0.02,1033.333,2.54
SRS6,2014-02-11,12:00,22.6,25.085,0.61,-9999,1.01,3.99,0.43,0.16,596.917,3.56
SRS1d,2014-03-06,11:10,-9999,54.49,1.42,-9999,1.27,0.21,0.14,0.05,1531.667,0.07
SRS2,2014-03-06,9:10,-9999,88.371,2.02,-9999,20.58,1.08,0.27,0.05,1706.667,0.81
SRS3,2014-03-06,8:00,-9999,70.243,1.77,-9999,12.59,3.64,0.19,0.02,1588.333,3.45
SRS4,2014-03-19,10:00,4.3,47.43,1.52,-9999,2.08,0.53,0.14,0.06,1464.167,0.39
SRS5,2014-03-19,10:50,18.7,30.181,0.63,-9999,2.07,1.36,0.17,-9999,41.667,1.18
SRS6,2014-03-19,11:30,26.6,25.551,0.78,-9999,1.33,1.75,0.28,-9999,718.5,1.46
SRS1d,2014-04-01,12:45,-9999,73.265,0.3,-9999,2.66,0.21,0.08,0.04,2111.5,0.13
SRS2,2014-04-01,10:40,-9999,86.851,0.32,-9999,14.1,1.18,0.21,0.05,2076.667,0.97
SRS3,2014-04-01,9:45,-9999,68.3,0.47,-9999,11.36,3.07,0.22,0.06,1806.667,2.84
SRS4,2014-04-09,11:00,9.3,43.19,0.66,-9999,1.76,0.74,0.17,0.06,1511.667,0.57
SRS5,2014-04-09,11:40,27.1,17.067,0.78,-9999,1.36,2.98,0.37,0.17,798.667,2.6
SRS6,2014-04-09,12:30,32,13.617,0.81,-9999,3.78,1.3,0.28,0.14,488.625,1.03
SRS4,2014-05-01,10:15,19.8,32.819,0.61,-9999,0.98,1.02,0.19,0.06,1159.167,0.83
SRS5,2014-05-01,11:00,28.7,26.919,0.75,-9999,1.78,1.12,0.21,0.02,832.667,0.91
SRS6,2014-05-01,11:35,32.7,22.657,0.53,-9999,2,1.76,0.33,0.16,572.917,1.43
SRS1d,2014-05-12,11:10,-9999,175.287,0.86,-9999,48.75,0.41,0.22,0.1,3356.167,0.19
SRS2,2014-05-12,9:45,-9999,110.83,0.34,-9999,7.38,0.33,0.16,0.08,2507.833,0.16
SRS3,2014-05-12,8:45,-9999,146.136,0.84,-9999,86.16,1.67,0.28,0.06,1881.167,1.4
SRS1d,2014-06-02,9:15,-9999,223.29,1.31,-9999,100.83,14.81,0.84,0.03,2883.75,13.97
SRS2,2014-06-02,10:15,-9999,190.175,1.04,-9999,49.72,0.67,0.14,0.05,3057.5,0.53
SRS3,2014-06-02,11:00,-9999,72.614,1.51,-9999,2.65,1.78,0.3,0.05,1688.333,1.48
SRS4,2014-06-04,10:15,12.9,41.564,1.45,-9999,2.2,1.04,0.18,0.13,1250.833,0.86
SRS5,2014-06-04,11:00,21.6,37.177,0.84,-9999,2.49,2.66,0.4,0.04,1109.167,2.26
SRS6,2014-06-04,11:30,29.7,30.068,1.16,-9999,3.03,5.45,0.66,0.29,752.625,4.79
SRS4,2014-07-10,10:15,1.2,47.073,0.4,-9999,3.17,0.78,0.21,0.13,1292.5,0.57
SRS5,2014-07-10,10:55,7.5,38.92,0.61,-9999,2.88,2.67,0.33,0.16,1243.333,2.34
SRS6,2014-07-10,11:30,23,26.973,0.73,-9999,1.32,4.62,0.5,0.29,765.583,4.11
SRS1d,2014-07-16,13:20,-9999,77.267,0.6,-9999,2.33,0.13,0.11,0.17,2047.083,0.02
SRS2,2014-07-16,10:40,-9999,57.556,0.49,-9999,2.62,0.21,0.09,0.18,1225.833,0.12
SRS3,2014-07-16,9:20,-9999,34.486,0.48,-9999,2.29,0.25,0.08,0.2,1017.5,0.17
SRS4,2014-08-13,10:00,0.8,43.654,0.41,-9999,5.87,0.22,0.12,0.04,1105,0.1
SRS5,2014-08-13,11:00,15.6,34.776,0.61,-9999,0.92,1.92,0.22,0.15,935.833,1.7
SRS6,2014-08-13,12:00,22.9,35.073,0.47,-9999,1.79,2.18,0.33,0.04,773.917,1.86
SRS1d,2014-08-15,12:40,-9999,74.354,0.31,-9999,2.58,0.16,0.11,0.04,1492.917,0.05
SRS2,2014-08-15,10:30,-9999,50.239,0.18,-9999,1.77,0.16,0.08,0.02,1207.5,0.07
SRS3,2014-08-15,9:40,-9999,36.951,0.31,-9999,1.02,0.16,0.08,0.02,1010,0.07
SRS4,2014-09-09,10:07,0.6,28.039,0.34,-9999,0.62,0.3,0.13,0.04,1019.167,0.16
SRS5,2014-09-09,10:50,6.4,37.331,0.81,-9999,1.89,2.32,0.24,0.08,1020.833,2.08
SRS6,2014-09-09,11:45,19.1,30.465,0.64,-9999,2.27,3.13,0.33,0.17,799.833,2.8
SRS1d,2014-09-15,13:30,-9999,48.189,0.27,-9999,1.17,0.43,0.11,0.05,1261.667,0.32
SRS2,2014-09-15,10:45,-9999,42.719,1.63,-9999,2.82,0.19,0.12,-9999,1015.833,0.07
SRS3,2014-09-15,9:45,-9999,37.061,0.42,-9999,1.06,0.56,0.12,0.15,940,0.44
SRS4,2014-10-07,10:20,0.3,42.043,0.29,-9999,1.14,0.14,0.09,0.03,991.667,0.05
SRS5,2014-10-07,10:50,4.9,42.161,0.31,-9999,1.9,1.04,0.18,0.1,1016.667,0.86
SRS6,2014-10-07,10:45,22.1,32.462,0.53,-9999,2.09,2.75,0.34,0.14,708.583,2.41
SRS1d,2014-10-15,8:15,-9999,61.413,0.2,-9999,3.47,0.13,0.08,0.03,1504.167,0.05
SRS2,2014-10-15,11:15,-9999,56.452,0.2,-9999,2.92,0.14,0.07,0.02,1484.167,0.07
SRS3,2014-10-15,9:45,-9999,56.956,0.24,-9999,1.52,0.54,0.09,0.07,1225.833,0.45
SRS4,2014-11-04,10:00,1.2,49.605,0.21,-9999,2.11,0.43,0.13,0.04,1285,0.3
SRS5,2014-11-04,10:45,5.1,43.894,0.36,-9999,1.24,0.7,0.08,0,1237.917,0.62
SRS6,2014-11-04,11:35,18.6,37.704,0.4,-9999,3.29,1.49,0.13,0.36,889.583,1.36
SRS1d,2014-11-10,13:00,-9999,65.327,0.13,-9999,1.87,0.21,0.09,0.02,1568.333,0.12
SRS2,2014-11-10,10:30,-9999,64.792,0.11,-9999,2.22,0.36,0.1,0.01,1453.333,0.27
SRS3,2014-11-10,9:20,-9999,56.082,0.16,-9999,1.64,0.37,0.07,0.04,1391.667,0.3
SRS4,2014-12-02,10:00,2.5,60.868,0.21,-9999,1.93,0.82,0.13,0.08,1406.667,0.68
SRS5,2014-12-02,10:30,18.3,42.598,0.32,-9999,1.01,1.59,0.14,0.2,965,1.46
SRS6,2014-12-02,10:50,26,30.2,0.42,-9999,0.67,2.47,0.21,0.11,675.75,2.26
SRS1d,2014-12-04,14:00,-9999,73.889,0.17,-9999,3.22,0.21,0.07,0.08,1698.333,0.14
SRS2,2014-12-04,10:00,-9999,65.011,0.1,-9999,2.61,0.37,0.07,0.09,1591.667,0.3
SRS3,2014-12-04,8:55,-9999,61.946,0.1,-9999,2.21,1.78,0.08,0.11,1570,1.71
SRS4,2015-01-08,10:00,2.8,46.674,0.32,-9999,2.86,1.15,0.2,0.01,1469.167,0.95
SRS5,2015-01-08,10:40,5.1,45.087,0.45,-9999,1.43,1.44,0.22,0.01,1470,1.22
SRS6,2015-01-08,11:40,18.9,35.213,0.44,-9999,1.22,2.68,0.19,0.19,1002.5,2.49
SRS1d,2015-01-13,14:00,-9999,62.488,0.22,-9999,8.96,3.31,0.14,0.01,1896.667,3.17
