"YEAR","MEAN_TN"
2001,688.125
2002,678.235294117647
2003,469.111111111111
2004,449.314285714286
2005,488.149253731343
2006,416.684931506849
2007,716.319444444444
2008,488.75
2009,640.6
2010,722.430555555555
2011,871.507692307692
2012,809.422535211268
2013,663.041666666667
2014,745.638888888889
2015,783.417910447761
2016,826.958333333333
2017,722.405797101449
2018,875.111111111111
2019,866.444444444445
2020,807.184615384615
2021,950.277777777778
