"SITE_NAME","DATE","TP","TN"
"SRS6",2012-10-17,67,376
"SRS1d",2012-11-01,19,701
"SRS2",2012-11-01,21,839
"SRS3",2012-11-01,13,559
"SRS4",2012-11-13,30,815
"SRS5",2012-11-13,54,908
"SRS6",2012-11-13,50,389
"SRS1d",2012-12-17,28,1032
"SRS2",2012-12-17,15,1037
"SRS3",2012-12-17,21,690
"SRS4",2012-12-18,36,835
"SRS5",2012-12-18,59,527
"SRS6",2012-12-18,63,285
"SRS1d",2013-01-08,34,1085
"SRS2",2013-01-08,25,803
"SRS3",2013-01-08,26,543
"SRS4",2013-01-15,44,899
"SRS5",2013-01-15,79,608
"SRS6",2013-01-15,118,211
"SRS4",2013-02-05,43,1266
"SRS5",2013-02-05,44,533
"SRS6",2013-02-05,45,151
"SRS1d",2013-02-12,40,12
"SRS2",2013-02-12,32,43
"SRS3",2013-02-12,37,1340
"SRS1d",2013-03-04,17,29
"SRS2",2013-03-04,12,34
"SRS3",2013-03-04,15,1361
"SRS4",2013-03-07,38,1199
"SRS5",2013-03-07,43,912
"SRS6",2013-03-07,74,213
"SRS4",2013-04-02,106,1007
"SRS5",2013-04-02,47,353
"SRS6",2013-04-02,51,202
"SRS1d",2013-04-04,119,110
"SRS2",2013-04-04,90,92
"SRS3",2013-04-04,99,74
"SRS4",2013-05-01,42,604
"SRS5",2013-05-01,54,198
"SRS6",2013-05-01,54,143
"SRS1d",2013-05-08,32,79
"SRS2",2013-05-08,17,1066
"SRS3",2013-05-08,33,995
"SRS4",2013-06-04,48,788
"SRS5",2013-06-04,35,840
"SRS6",2013-06-04,65,658
"SRS1d",2013-06-20,37,1086
"SRS2",2013-06-20,30,1149
"SRS3",2013-06-20,22,892
"SRS4",2013-07-01,36,701
"SRS5",2013-07-01,136,461
"SRS6",2013-07-01,154,337
"SRS1d",2013-07-11,24,1115
"SRS2",2013-07-11,14,504
"SRS3",2013-07-11,21,350
"SRS4",2013-08-14,33,1015
"SRS5",2013-08-14,52,494
"SRS6",2013-08-14,62,277
"SRS1d",2013-08-16,20,1206
"SRS2",2013-08-16,38,940
"SRS3",2013-08-16,31,739
"SRS4",2013-09-05,36,844
"SRS5",2013-09-05,35,913
"SRS6",2013-09-05,48,515
"SRS1d",2013-09-12,27,858
"SRS2",2013-09-12,16,907
"SRS3",2013-09-12,20,825
"SRS1d",2013-10-24,27,896
"SRS2",2013-10-24,15,832
"SRS3",2013-10-24,16,633
"SRS4",2013-10-28,43,957
"SRS5",2013-10-28,56,856
"SRS6",2013-10-28,67,401
"SRS1d",2013-11-07,19,592
"SRS2",2013-11-07,7,843
"SRS3",2013-11-07,14,686
"SRS4",2013-11-12,27,735
"SRS5",2013-11-12,39,711
"SRS6",2013-11-12,49,378
"SRS4",2013-12-03,36,872
"SRS5",2013-12-03,35,631
"SRS6",2013-12-03,47,398
"SRS1d",2013-12-10,28,1056
"SRS2",2013-12-10,25,752
"SRS3",2013-12-10,14,931
"SRS1d",2014-01-14,13,836
"SRS2",2014-01-14,9,1233
"SRS3",2014-01-14,10,885
"SRS4",2014-01-22,24,1024
"SRS5",2014-01-22,30,624
"SRS6",2014-01-22,44,259
"SRS1d",2014-02-05,25,1166
"SRS2",2014-02-05,29,1373
"SRS3",2014-02-05,14,1102
"SRS4",2014-02-11,36,1046
"SRS5",2014-02-11,37,817
"SRS6",2014-02-11,59,231
"SRS1d",2014-03-06,129,1005
"SRS2",2014-03-06,147,1354
"SRS3",2014-03-06,142,1236
"SRS4",2014-03-19,135,855
"SRS5",2014-03-19,61,356
"SRS6",2014-03-19,76,238
"SRS1d",2014-04-01,28,1260
"SRS2",2014-04-01,30,1343
"SRS3",2014-04-01,45,1222
"SRS4",2014-04-09,64,740
"SRS5",2014-04-09,76,117
"SRS6",2014-04-09,79,73
"SRS4",2014-05-01,59,433
"SRS5",2014-05-01,73,272
"SRS6",2014-05-01,51,184
"SRS1d",2014-05-12,84,128
"SRS2",2014-05-12,32,38
"SRS3",2014-05-12,82,97
"SRS1d",2014-06-02,124,192
"SRS2",2014-06-02,102,147
"SRS3",2014-06-02,134,1255
"SRS4",2014-06-04,131,687
"SRS5",2014-06-04,82,566
"SRS6",2014-06-04,113,351
"SRS4",2014-07-10,38,845
"SRS5",2014-07-10,59,619
"SRS6",2014-07-10,71,273
"SRS1d",2014-07-16,58,1294
"SRS2",2014-07-16,47,1062
"SRS3",2014-07-16,46,484
"SRS4",2014-08-13,39,749
"SRS5",2014-08-13,59,493
"SRS6",2014-08-13,45,507
"SRS1d",2014-08-15,29,1275
"SRS2",2014-08-15,16,914
"SRS3",2014-08-15,29,556
"SRS4",2014-09-09,32,296
"SRS5",2014-09-09,79,572
"SRS6",2014-09-09,62,366
"SRS1d",2014-09-15,25,878
"SRS2",2014-09-15,138,725
"SRS3",2014-09-15,40,561
"SRS4",2014-10-07,27,699
"SRS5",2014-10-07,29,702
"SRS6",2014-10-07,51,424
"SRS1d",2014-10-15,18,1126
"SRS2",2014-10-15,18,1043
"SRS3",2014-10-15,22,1055
"SRS4",2014-11-04,19,905
"SRS5",2014-11-04,34,755
"SRS6",2014-11-04,38,582
"SRS1d",2014-11-10,11,1184
"SRS2",2014-11-10,9,1179
"SRS3",2014-11-10,14,1035
"SRS4",2014-12-02,19,1117
"SRS5",2014-12-02,30,723
"SRS6",2014-12-02,40,357
"SRS1d",2014-12-04,15,1268
"SRS2",2014-12-04,8,1180
"SRS3",2014-12-04,8,1138
"SRS4",2015-01-08,30,837
"SRS5",2015-01-08,43,794
"SRS6",2015-01-08,42,509
"SRS1d",2015-01-13,20,1150
"SRS2",2015-01-13,9,1134
"SRS3",2015-01-13,10,971
"SRS1d",2015-02-02,36,1232
"SRS2",2015-02-02,29,1289
"SRS3",2015-02-02,27,1221
"SRS4",2015-02-09,45,979
"SRS5",2015-02-09,48,679
"SRS6",2015-02-09,55,368
"SRS1d",2015-03-02,54,1383
"SRS2",2015-03-02,27,1352
"SRS3",2015-03-02,35,1205
"SRS4",2015-03-16,56,1092
"SRS5",2015-03-16,60,659
"SRS6",2015-03-16,64,360
"SRS4",2015-04-06,78,852
"SRS5",2015-04-06,70,455
"SRS6",2015-04-06,76,247
"SRS2",2015-04-09,32,91
"SRS3",2015-04-09,82,205
"SRS4",2015-05-04,49,688
"SRS5",2015-05-04,46,540
"SRS6",2015-05-04,49,297
"SRS2",2015-05-27,50,1376
"SRS3",2015-05-27,98,1388
"SRS4",2015-06-02,117,411
"SRS5",2015-06-02,75,224
"SRS6",2015-06-02,124,113
"SRS2",2015-06-23,20,1382
"SRS3",2015-06-23,41,1283
"SRS4",2015-07-01,54,743
"SRS5",2015-07-01,57,432
"SRS6",2015-07-01,61,139
"SRS2",2015-07-13,24,1154
"SRS3",2015-07-13,36,747
"SRS2",2015-08-11,23,1328
"SRS3",2015-08-11,23,412
"SRS4",2015-08-12,49,468
"SRS5",2015-08-12,59,212
"SRS6",2015-08-12,65,131
"SRS4",2015-09-15,45,893
"SRS5",2015-09-15,57,760
"SRS6",2015-09-15,62,518
"SRS1d",2015-09-17,33,71
"SRS2",2015-09-17,20,1284
"SRS3",2015-09-17,22,733
"SRS4",2015-10-01,50,450
"SRS5",2015-10-01,55,279
"SRS6",2015-10-01,55,227
"SRS1d",2015-10-05,25,1351
"SRS2",2015-10-05,17,1249
"SRS3",2015-10-05,22,902
"SRS1d",2015-11-03,31,1286
"SRS2",2015-11-03,30,1172
"SRS3",2015-11-03,30,925
"SRS4",2015-11-10,58,1069
"SRS5",2015-11-10,61,943
"SRS6",2015-11-10,70,565
"SRS4",2015-12-01,44,911
"SRS5",2015-12-01,56,573
"SRS6",2015-12-01,53,394
"SRS1d",2015-12-03,16,1253
"SRS2",2015-12-03,15,1210
"SRS3",2015-12-03,38,939
"SRS4",2016-01-05,42,973
"SRS5",2016-01-05,45,1059
"SRS6",2016-01-05,56,731
"SRS1d",2016-01-07,24,1157
"SRS2",2016-01-07,35,1110
"SRS3",2016-01-07,25,961
"SRS1d",2016-02-02,23,884
"SRS2",2016-02-02,14,769
"SRS3",2016-02-02,14,636
"SRS4",2016-02-11,28,849
"SRS5",2016-02-11,33,694
"SRS6",2016-02-11,52,441
"SRS1d",2016-03-02,27,929
"SRS2",2016-03-02,24,826
"SRS3",2016-03-02,23,881
"SRS4",2016-03-08,45,981
"SRS5",2016-03-08,51,897
"SRS6",2016-03-08,60,409
"SRS1d",2016-04-05,23,1187
"SRS2",2016-04-05,14,1079
"SRS3",2016-04-05,17,1133
"SRS4",2016-04-12,39,996
"SRS5",2016-04-12,55,891
"SRS6",2016-04-12,111,405
"SRS4",2016-05-09,54,1031
"SRS5",2016-05-09,57,717
"SRS6",2016-05-09,66,378
"SRS1d",2016-05-10,27,1103
"SRS2",2016-05-10,21,918
"SRS3",2016-05-10,27,1231
"SRS1d",2016-06-06,25,1171
"SRS2",2016-06-06,19,1044
"SRS3",2016-06-06,19,1280
"SRS4",2016-06-08,102,1000
"SRS5",2016-06-08,82,531
"SRS6",2016-06-08,104,452
"SRS4",2016-07-13,31,941
"SRS5",2016-07-13,49,721
"SRS6",2016-07-13,71,331
"SRS1d",2016-07-19,49,1315
"SRS2",2016-07-19,19,1259
"SRS3",2016-07-19,15,1098
"SRS4",2016-08-02,36,946
"SRS5",2016-08-02,37,869
"SRS6",2016-08-02,50,352
"SRS1d",2016-08-15,21,30
"SRS2",2016-08-15,10,26
"SRS3",2016-08-15,13,928
"SRS4",2016-09-01,29,935
"SRS5",2016-09-01,38,574
"SRS6",2016-09-01,55,557
"SRS1d",2016-09-14,16,805
"SRS2",2016-09-14,14,958
"SRS3",2016-09-14,16,953
"SRS4",2016-10-13,23,791
"SRS5",2016-10-13,34,710
"SRS6",2016-10-13,56,498
"SRS1d",2016-10-20,26,777
"SRS2",2016-10-20,24,730
"SRS3",2016-10-20,23,668
"SRS1d",2016-11-02,14,851
"SRS2",2016-11-02,9,822
"SRS3",2016-11-02,13,727
"SRS4",2016-11-09,26,978
"SRS5",2016-11-09,53,672
"SRS6",2016-11-09,60,442
"SRS1d",2016-12-01,24,1182
"SRS2",2016-12-01,21,1070
"SRS3",2016-12-01,18,1017
"SRS4",2016-12-05,34,1003
"SRS5",2016-12-05,39,720
"SRS6",2016-12-05,57,551
"SRS1d",2017-01-05,60,1301
"SRS2",2017-01-05,89,1368
"SRS3",2017-01-05,46,1165
"SRS4",2017-01-11,41,1042
"SRS5",2017-01-11,52,1008
"SRS6",2017-01-11,58,382
"SRS1d",2017-02-01,22,1378
"SRS2",2017-02-01,24,1360
"SRS3",2017-02-01,29,1302
"SRS4",2017-02-08,38,1163
"SRS5",2017-02-08,45,621
"SRS6",2017-02-08,60,216
"SRS4",2017-03-01,52,1034
"SRS5",2017-03-01,55,762
"SRS6",2017-03-01,59,319
"SRS1d",2017-03-07,49,44
"SRS2",2017-03-07,40,57
"SRS3",2017-03-07,58,36
"SRS4",2017-04-04,55,744
"SRS5",2017-04-04,52,329
"SRS6",2017-04-04,42,199
"SRS1d",2017-04-21,44,69
"SRS2",2017-04-21,149,469
"SRS3",2017-04-21,12,83
"SRS1d",2017-05-04,35,95
"SRS2",2017-05-04,53,127
"SRS3",2017-05-04,43,1099
"SRS4",2017-05-10,51,707
"SRS5",2017-05-10,67,767
"SRS6",2017-05-10,56,305
"SRS4",2017-06-13,71,750
"SRS5",2017-06-13,83,613
"SRS6",2017-06-13,78,460
"SRS1d",2017-06-19,59,1145
"SRS2",2017-06-19,70,1295
"SRS3",2017-06-19,79,968
"SRS4",2017-07-11,43,768
"SRS5",2017-07-11,67,757
"SRS6",2017-07-11,69,588
"SRS1d",2017-07-18,84,1223
"SRS2",2017-07-18,88,1093
"SRS3",2017-07-18,85,864
"SRS4",2017-08-09,69,1173
"SRS5",2017-08-09,61,950
"SRS6",2017-08-09,68,589
"SRS1d",2017-08-11,52,1237
"SRS2",2017-08-11,35,1030
"SRS3",2017-08-11,98,985
"SRS1d",2017-09-29,125,1120
"SRS2",2017-09-29,38,549
"SRS3",2017-09-29,122,558
"SRS4",2017-10-06,57,534
"SRS5",2017-10-06,121,867
"SRS6",2017-10-06,130,703
"SRS1d",2017-10-10,62,879
"SRS2",2017-10-10,100,470
"SRS3",2017-10-10,81,586
"SRS4",2017-11-01,43,880
"SRS5",2017-11-01,57,697
"SRS6",2017-11-01,104,821
"SRS1d",2017-11-07,38,850
"SRS2",2017-11-07,27,490
"SRS3",2017-11-07,32,584
"SRS1d",2017-12-05,38,627
"SRS2",2017-12-05,46,388
"SRS3",2017-12-05,36,629
"SRS4",2017-12-07,50,526
"SRS5",2017-12-07,61,598
"SRS6",2017-12-07,103,451
"SRS1d",2018-01-09,39,1254
"SRS2",2018-01-09,53,1016
"SRS3",2018-01-09,53,1116
"SRS4",2018-01-11,45,1129
"SRS5",2018-01-11,83,965
"SRS6",2018-01-11,89,462
"SRS1d",2018-02-02,51,1386
"SRS2",2018-02-02,22,1122
"SRS3",2018-02-02,27,1217
"SRS4",2018-02-07,45,1144
"SRS5",2018-02-07,39,1088
"SRS6",2018-02-07,95,942
"SRS1d",2018-03-08,24,1341
"SRS2",2018-03-08,28,1215
"SRS3",2018-03-08,23,1156
"SRS4",2018-03-13,139,695
"SRS5",2018-03-13,82,909
"SRS6",2018-03-13,103,448
"SRS1d",2018-04-09,144,67
"SRS2",2018-04-09,128,1357
"SRS3",2018-04-09,126,1305
"SRS4",2018-04-11,146,1023
"SRS5",2018-04-11,152,949
"SRS6",2018-04-11,155,496
"SRS4",2018-05-01,79,951
"SRS5",2018-05-01,87,882
"SRS6",2018-05-01,105,704
"SRS1d",2018-05-10,111,129
"SRS2",2018-05-10,121,111
"SRS3",2018-05-10,127,50
"SRS1d",2018-06-04,68,1195
"SRS2",2018-06-04,39,901
"SRS3",2018-06-04,34,921
"SRS4",2018-06-05,53,877
"SRS5",2018-06-05,117,677
"SRS6",2018-06-05,129,646
"SRS4",2018-07-03,86,587
"SRS5",2018-07-03,80,779
"SRS6",2018-07-03,91,622
"SRS1d",2018-07-12,52,991
"SRS2",2018-07-12,82,829
"SRS3",2018-07-12,65,615
"SRS4",2018-08-08,38,1130
"SRS5",2018-08-08,73,1057
"SRS6",2018-08-08,104,607
"SRS1d",2018-08-10,26,1339
"SRS2",2018-08-10,24,1183
"SRS3",2018-08-10,33,1068
"SRS4",2018-09-10,55,938
"SRS5",2018-09-10,74,875
"SRS6",2018-09-10,85,476
"SRS1d",2018-09-13,49,1127
"SRS2",2018-09-13,44,673
"SRS3",2018-09-13,50,645
"SRS4",2018-10-11,34,1019
"SRS5",2018-10-11,61,960
"SRS6",2018-10-11,78,819
"SRS1d",2018-10-15,21,1372
"SRS2",2018-10-15,20,1142
"SRS3",2018-10-15,25,999
"SRS1d",2018-11-01,33,657
"SRS2",2018-11-01,18,1177
"SRS3",2018-11-01,22,1036
"SRS4",2018-11-05,34,290
"SRS5",2018-11-05,39,536
"SRS6",2018-11-05,76,562
"SRS4",2018-12-04,55,1107
"SRS5",2018-12-04,58,802
"SRS6",2018-12-04,73,492
"SRS1d",2018-12-06,103,86
"SRS2",2018-12-06,79,1309
"SRS3",2018-12-06,96,1256
"SRS1d",2019-01-08,76,1331
"SRS2",2019-01-08,74,1073
"SRS3",2019-01-08,69,1151
"SRS4",2019-01-14,55,1072
"SRS5",2019-01-14,58,765
"SRS6",2019-01-14,61,546
"SRS1d",2019-02-05,33,51
"SRS2",2019-02-05,25,1375
"SRS3",2019-02-05,32,1358
"SRS4",2019-02-14,54,1271
"SRS5",2019-02-14,55,1147
"SRS6",2019-02-14,63,486
"SRS4",2019-03-11,69,1012
"SRS5",2019-03-11,72,550
"SRS6",2019-03-11,81,810
"SRS1d",2019-03-13,76,1342
"SRS2",2019-03-13,77,70
"SRS3",2019-03-13,114,78
"SRS1d",2019-04-03,43,19
"SRS2",2019-04-03,48,68
"SRS3",2019-04-03,82,1369
"SRS4",2019-04-11,55,966
"SRS5",2019-04-11,85,696
"SRS6",2019-04-11,88,616
"SRS1d",2019-05-06,65,107
"SRS2",2019-05-06,89,24
"SRS3",2019-05-06,99,10
"SRS4",2019-05-14,73,990
"SRS5",2019-05-14,84,693
"SRS6",2019-05-14,83,637
"SRS4",2019-06-03,58,1078
"SRS5",2019-06-03,72,669
"SRS6",2019-06-03,90,647
"SRS1d",2019-06-06,31,46
"SRS2",2019-06-06,42,46
"SRS3",2019-06-06,87,1381
"SRS1d",2019-07-01,29,1334
"SRS2",2019-07-01,23,1186
"SRS3",2019-07-01,27,1002
"SRS4",2019-07-16,50,1105
"SRS5",2019-07-16,59,1026
"SRS6",2019-07-16,110,993
"SRS4",2019-08-05,46,700
"SRS5",2019-08-05,82,439
"SRS6",2019-08-05,81,312
"SRS1d",2019-08-06,20,1322
"SRS2",2019-08-06,15,1167
"SRS3",2019-08-06,22,700
"SRS1d",2019-09-10,42,1355
"SRS2",2019-09-10,52,1078
"SRS3",2019-09-10,51,1058
"SRS4",2019-09-12,70,1155
"SRS5",2019-09-12,65,1078
"SRS6",2019-09-12,75,927
"SRS4",2019-10-01,58,997
"SRS5",2019-10-01,67,811
"SRS6",2019-10-01,83,647
"SRS1d",2019-10-07,81,1391
"SRS2",2019-10-07,57,1267
"SRS3",2019-10-07,55,1123
"SRS1d",2019-11-06,51,1363
"SRS2",2019-11-06,54,1273
"SRS3",2019-11-06,51,1176
"SRS4",2019-11-12,51,1160
"SRS5",2019-11-12,78,976
"SRS6",2019-11-12,84,763
"SRS1d",2019-12-10,42,1201
"SRS2",2019-12-10,45,1039
"SRS3",2019-12-10,55,1242
"SRS4",2019-12-12,49,714
"SRS5",2019-12-12,53,1038
"SRS6",2019-12-12,64,716
"SRS1d",2020-01-07,79,100
"SRS2",2020-01-07,123,1307
"SRS3",2020-01-07,63,1261
"SRS4",2020-01-09,68,1202
"SRS5",2020-01-09,68,1123
"SRS6",2020-01-09,67,888
"SRS1d",2020-02-05,25,60
"SRS2",2020-02-05,19,1261
"SRS3",2020-02-05,25,1312
"SRS4",2020-02-12,43,1160
"SRS5",2020-02-12,59,823
"SRS6",2020-02-12,65,564
"SRS1d",2020-03-09,80,102
"SRS2",2020-03-09,75,1349
"SRS3",2020-03-09,79,1334
"SRS4",2020-03-11,58,1132
"SRS5",2020-03-11,68,763
"SRS6",2020-03-11,86,603
"SRS4",2020-05-21,71,1053
"SRS5",2020-05-21,85,830
"SRS6",2020-05-21,62,580
"SRS1d",2020-05-29,100,75
"SRS3",2020-05-29,109,48
"SRS4",2020-06-09,87,1058
"SRS5",2020-06-09,86,888
"SRS6",2020-06-09,101,683
"SRS1d",2020-06-15,45,1345
"SRS2",2020-06-15,52,40
"SRS3",2020-06-15,77,22
"SRS4",2020-07-02,63,1091
"SRS5",2020-07-02,86,754
"SRS6",2020-07-02,92,338
"SRS1d",2020-07-15,47,1353
"SRS2",2020-07-15,63,1347
"SRS3",2020-07-15,57,1109
"SRS4",2020-08-04,107,778
"SRS5",2020-08-04,100,609
"SRS6",2020-08-04,85,436
"SRS1d",2020-08-26,69,1164
"SRS2",2020-08-26,120,1327
"SRS3",2020-08-26,93,339
"SRS1d",2020-09-09,94,1137
"SRS2",2020-09-09,103,782
"SRS3",2020-09-09,64,648
"SRS4",2020-09-15,66,982
"SRS5",2020-09-15,95,1091
"SRS6",2020-09-15,115,576
"SRS4",2020-10-01,26,542
"SRS5",2020-10-01,109,713
"SRS6",2020-10-01,71,602
"SRS1d",2020-10-05,83,1108
"SRS2",2020-10-05,58,800
"SRS3",2020-10-05,69,732
"SRS1d",2020-11-02,95,854
"SRS2",2020-11-02,77,535
"SRS3",2020-11-02,67,570
"SRS4",2020-11-23,63,228
"SRS5",2020-11-23,82,671
"SRS6",2020-11-23,94,457
"SRS1d",2020-12-08,55,1198
"SRS2",2020-12-08,117,555
"SRS3",2020-12-08,67,563
"SRS4",2020-12-10,71,1189
"SRS5",2020-12-10,73,1209
"SRS6",2020-12-10,71,1114
"SRS3",2021-01-11,52,1225
"SRS2",2021-01-11,108,1227
"SRS1d",2021-01-11,60,1245
"SRS4",2021-01-13,50,1219
"SRS5",2021-01-13,65,1128
"SRS6",2021-01-13,58,984
"SRS4",2021-02-03,60,1201
"SRS5",2021-02-03,72,820
"SRS6",2021-02-03,92,439
"SRS3",2021-02-08,4,1235
"SRS2",2021-02-08,80,1267
"SRS1d",2021-02-08,73,1314
"SRS3",2021-03-01,71,1316
"SRS2",2021-03-01,49,1359
"SRS1d",2021-03-01,99,11
"SRS4",2021-03-11,79,1313
"SRS5",2021-03-11,64,1313
"SRS6",2021-03-11,70,903
"SRS3",2021-04-12,45,1390
"SRS2",2021-04-12,40,9
"SRS1d",2021-04-12,40,1387
"SRS4",2021-04-19,70,1245
"SRS5",2021-04-19,84,538
"SRS6",2021-04-19,80,301
"SRS3",2021-05-05,91,1338
"SRS2",2021-05-05,103,1379
"SRS1d",2021-05-05,84,62
"SRS4",2021-05-18,84,1230
"SRS5",2021-05-18,66,847
"SRS6",2021-05-18,83,430
"SRS3",2021-06-03,83,55
"SRS2",2021-06-03,92,45
"SRS1d",2021-06-03,71,76
"SRS4",2021-06-08,72,1176
"SRS5",2021-06-08,64,700
"SRS6",2021-06-08,85,419
"SRS3",2021-07-13,69,1192
"SRS1d",2021-07-13,61,1167
"SRS4",2021-07-15,72,1176
"SRS5",2021-07-15,79,793
"SRS6",2021-07-15,82,538
"SRS2",2021-07-16,85,1293
"SRS3",2021-08-02,64,1189
"SRS2",2021-08-02,85,1053
"SRS1d",2021-08-02,108,1377
"SRS4",2021-08-04,64,993
"SRS5",2021-08-04,87,742
"SRS6",2021-08-04,94,392
"SRS3",2021-09-01,59,1006
"SRS2",2021-09-01,110,1048
"SRS1d",2021-09-01,92,5
"SRS4",2021-09-21,71,887
"SRS5",2021-09-21,75,903
"SRS6",2021-09-21,85,491
"SRS1d",2021-10-04,108,1290
"SRS2",2021-10-04,125,1207
"SRS3",2021-10-04,71,1155
"SRS4",2021-10-06,105,1014
"SRS5",2021-10-06,92,830
"SRS6",2021-10-06,72,529
"SRS3",2021-11-01,66,1239
"SRS2",2021-11-01,100,1329
"SRS1d",2021-11-01,98,1370
"SRS4",2021-11-08,76,1065
"SRS5",2021-11-08,72,930
"SRS6",2021-11-08,70,679
"SRS3",2021-12-01,47,1291
"SRS2",2021-12-01,72,1281
"SRS1d",2021-12-01,58,1317
"SRS4",2021-12-06,63,1235
"SRS5",2021-12-06,63,903
"SRS6",2021-12-06,53,1365
